Type	Family	EnglishName	Genus	Species	CE07	CN01	WP58	WP55	WP37	WP29	WP3	WP34	WP33	WP5	WP30	WP67	CE03/WP15	CE04	WP20	WP1	WP4	WP69	WP73	WP40	WP43	WP60	WP31	CE05	CE02	WP59	WP42	WP27	WP7	WP57	WP56	WP39	CE09	CE1	WP10	CE10	WP12	WP65	CE01	CE08																																								
conifer	Pinaceae	Pacificsilverfir	Abies	amabilis	0	0	0	0	4m	0	0	0	0	0	0	0	0	0	0	0	0	0	1m	0	0	0	0	10m	0	0	0	0	8m	0	0	0	0	0	0	0	4m	0	0	0																																								
conifer	Pinaceae	AlpineFir	Abies	lasiocarpa	0	2m	5m	"2,0,0,0"	0	4m	"0,0,0,1"	"0,0,1,0"	10m	0	0	0	"0,1,1,1"	"1,0,0,0"	0	1m	0	10m	"4,0,4,0"	"1,0,0,0"	9m	"1,0,0,0"	7m	0	0	0	4m	"4,4,2,0"	1m	"3,1,0,1"	"3,1,3,2"	"1,0,0,0"	"1,0,0,0"	"2,2,1,0"	0	7m	0	0	3m	"0,1,0,0"																																								
conifer	Cupressaceae	yellowcedar	Chamaecyparis	nootkatensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
conifer	Cupressaceae	commonjuniper	Juniperus	communis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
conifer	Pinaceae	"whitespruce,mountainspruce"	Picea	engelmannii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
conifer	Pinaceae	"whitebarkpine,whitepine"	Pinus	albicaulis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4m	0	39m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
conifer	Pinaceae	Mountainhemlock	Tsuga	mertensiana	0	0	0	7m	2m	20m	5m	"0,0,1,0"	0	0	0	0	"0,0,0,3"	0	0	2m	0	"0,0,1,0"	"2,1,3,4"	"0,2,2,0"	10m	25m	15m	"0,0,0,1"	0	19m	7m	6m	"2,0,0,0"	"2,0,0,4"	5m	3m	16m	0	0	0	12m	18m	0	0																																								
deciduousshrub	Betulaceae	GreenAlder	Alnus	viridis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4m	0	6m	0	0	0	0	0	0	0	0																																								
deciduousshrub	Betulaceae	Blackcottonwood	Populus	trichocarpa	0	15m	0	22m	17.5m	25m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5m	0	11m	3m	0	0	0	0	0	0	2m	0	5m																																								
deciduousshrub	Grossulariaceae	currant	Ribes	spp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3m	0	0	0	0	"4,0,0,0"	0	0	0	0	0	0																																								
